China Sklad SAFA,,
Треккод,Дата прибытие,Путь
78367339444113,24.09.2023,Авиа Урумчи
JT5080162380086,24.09.2023,Авиа Урумчи
78367308488476,24.09.2023,Авиа Урумчи
777166086713315,24.09.2023,Авиа Урумчи
JT5220633881613,24.09.2023,Авиа Урумчи
777166654855811,24.09.2023,Авиа Урумчи
JT3046302436265,24.09.2023,Авиа Урумчи
78367303998275,24.09.2023,Авиа Урумчи
JT5220323271859,24.09.2023,Авиа Урумчи
78367349945178,24.09.2023,Авиа Урумчи
78367259606779,24.09.2023,Авиа Урумчи
JT5220390897773,24.09.2023,Авиа Урумчи
9855676969893,24.09.2023,Авиа Урумчи
78367972066449,24.09.2023,Авиа Урумчи
JT5220589367960,24.09.2023,Авиа Урумчи
433447970751617,24.09.2023,Авиа Урумчи
JT5220654103845,24.09.2023,Авиа Урумчи
78723335165537,24.09.2023,Авиа Урумчи
78367181633039,24.09.2023,Авиа Урумчи
78367456890253,24.09.2023,Авиа Урумчи
JT5219893986102,24.09.2023,Авиа Урумчи
78367646167666,24.09.2023,Авиа Урумчи
JT5220667610819,24.09.2023,Авиа Урумчи
JT5220369334434,24.09.2023,Авиа Урумчи
463123983591234,24.09.2023,Авиа Урумчи
78367195167096,24.09.2023,Авиа Урумчи
463119352786732,24.09.2023,Авиа Урумчи
463119322545613,24.09.2023,Авиа Урумчи
433446610278961,24.09.2023,Авиа Урумчи
JT5220411306421,24.09.2023,Авиа Урумчи
JT5220635332694,24.09.2023,Авиа Урумчи
777166439639325,24.09.2023,Авиа Урумчи
78723412600155,24.09.2023,Авиа Урумчи
463121952393541,24.09.2023,Авиа Урумчи
777166654037435,24.09.2023,Авиа Урумчи
78368145814391,24.09.2023,Авиа Урумчи
JT5219881421775,24.09.2023,Авиа Урумчи
777166407161825,24.09.2023,Авиа Урумчи
78724130888130,24.09.2023,Авиа Урумчи
463126842192197,24.09.2023,Авиа Урумчи
78367950729728,24.09.2023,Авиа Урумчи
463120982880011,24.09.2023,Авиа Урумчи
JT5220331245721,24.09.2023,Авиа Урумчи
78367744840265,24.09.2023,Авиа Урумчи
78723896899286,24.09.2023,Авиа Урумчи
78368104765818,24.09.2023,Авиа Урумчи
78367500809386,24.09.2023,Авиа Урумчи
78367697590271,24.09.2023,Авиа Урумчи
JT5220311683881,24.09.2023,Авиа Урумчи
78367455434002,24.09.2023,Авиа Урумчи
78367333753456,24.09.2023,Авиа Урумчи
463126018387257,24.09.2023,Авиа Урумчи
1246214690826,24.09.2023,Авиа Урумчи
78367504113434,24.09.2023,Авиа Урумчи
777165955373692,24.09.2023,Авиа Урумчи
JT5219576265776,24.09.2023,Авиа Урумчи
78367510064266,24.09.2023,Авиа Урумчи
777165955369796,24.09.2023,Авиа Урумчи
777165955374605,24.09.2023,Авиа Урумчи
777166667368636,24.09.2023,Авиа Урумчи
686245,24.09.2023,Авиа Урумчи
DPK211670525344,24.09.2023,Авиа Урумчи
SF1408858077814,24.09.2023,Авиа Урумчи
773066596412449,24.09.2023,Авиа Урумчи
YT8928202626244,24.09.2023,Авиа Урумчи
463130052388706,24.09.2023,Авиа Урумчи
JT5221306353260,24.09.2023,Авиа Урумчи
JT5221302605826,24.09.2023,Авиа Урумчи
777166596306181,24.09.2023,Авиа Урумчи
777165826266112,24.09.2023,Авиа Урумчи
JT5220675407713,24.09.2023,Авиа Урумчи
463124271151116,24.09.2023,Авиа Урумчи
463125145344395,24.09.2023,Авиа Урумчи
463129719322304,24.09.2023,Авиа Урумчи
JT5219948347773,24.09.2023,Авиа Урумчи
463130052388885,24.09.2023,Авиа Урумчи
773244018502693,24.09.2023,Авиа Урумчи
777166780118902,24.09.2023,Авиа Урумчи
78723205015155,24.09.2023,Авиа Урумчи
777166024892129,24.09.2023,Авиа Урумчи
777167004322837,24.09.2023,Авиа Урумчи
YT7414590591721,24.09.2023,Авиа Урумчи
777166038881973,24.09.2023,Авиа Урумчи
JT5221732071450,26.09.2023,Авиа Урумчи
78725627037812,26.09.2023,Авиа Урумчи
78368637218552,26.09.2023,Авиа Урумчи
78725125463404,26.09.2023,Авиа Урумчи
78368557656896,26.09.2023,Авиа Урумчи
YT7415930572510,26.09.2023,Авиа Урумчи
JT5221723186315,26.09.2023,Авиа Урумчи
78367272121614,26.09.2023,Авиа Урумчи
JT5221382243564,26.09.2023,Авиа Урумчи
463127632964617,26.09.2023,Авиа Урумчи
JT5221258348325,26.09.2023,Авиа Урумчи
626041,26.09.2023,Авиа Урумчи
JT5221001312894,26.09.2023,Авиа Урумчи
JT5221521908562,26.09.2023,Авиа Урумчи
JT5221521908562,26.09.2023,Авиа Урумчи
78367184394384,26.09.2023,Авиа Урумчи
78723325857766,26.09.2023,Авиа Урумчи
YT8927743292840,26.09.2023,Авиа Урумчи
78367114505266,26.09.2023,Авиа Урумчи
JT5221989767483,27.09.2023,Авиа Урумчи
YT7416238476791,27.09.2023,Авиа Урумчи
78368331362484,27.09.2023,Авиа Урумчи
78368559448885,27.09.2023,Авиа Урумчи
78368254514402,27.09.2023,Авиа Урумчи
78368688981986,27.09.2023,Авиа Урумчи
1250746713626,27.09.2023,Авиа Урумчи
78368570371226,27.09.2023,Авиа Урумчи
78368836637403,27.09.2023,Авиа Урумчи
8213621569001,27.09.2023,Авиа Урумчи
78368624260206,27.09.2023,Авиа Урумчи
9855833970280,27.09.2023,Авиа Урумчи
78368565403535,27.09.2023,Авиа Урумчи
1250677768926,27.09.2023,Авиа Урумчи
78368849670300,27.09.2023,Авиа Урумчи
78368637873236,27.09.2023,Авиа Урумчи
1250528279726,27.09.2023,Авиа Урумчи
78368633427929,27.09.2023,Авиа Урумчи
78368729979121,27.09.2023,Авиа Урумчи
78368379536084,27.09.2023,Авиа Урумчи
1249205669826,27.09.2023,Авиа Урумчи
78368718082429,27.09.2023,Авиа Урумчи
78368558285814,27.09.2023,Авиа Урумчи
,27.09.2023,Авиа Урумчи
JT5221819782217,27.09.2023,Авиа Урумчи
9855721414052,27.09.2023,Авиа Урумчи
JT5222052359801,27.09.2023,Авиа Урумчи
JT5221661332172,27.09.2023,Авиа Урумчи
JT5221745098940,27.09.2023,Авиа Урумчи
JT5221472025577,27.09.2023,Авиа Урумчи
777167477759632,27.09.2023,Авиа Урумчи
JT5221990199558,27.09.2023,Авиа Урумчи
JT5222093356009,27.09.2023,Авиа Урумчи
JT5221985551494,27.09.2023,Авиа Урумчи
JT5222093247935,27.09.2023,Авиа Урумчи
777168069168563,27.09.2023,Авиа Урумчи
JT5221993322507,27.09.2023,Авиа Урумчи
777167631727978,27.09.2023,Авиа Урумчи
JT5221978478464,27.09.2023,Авиа Урумчи
JT5221975127975,27.09.2023,Авиа Урумчи
JT5221653198362,27.09.2023,Авиа Урумчи
JT5220893225344,27.09.2023,Авиа Урумчи
JT5221794911589,27.09.2023,Авиа Урумчи
JT5221471411174,27.09.2023,Авиа Урумчи
463137200046759,27.09.2023,Авиа Урумчи
463133360324709,27.09.2023,Авиа Урумчи
JT5221996724015,27.09.2023,Авиа Урумчи
JT5221507413487,27.09.2023,Авиа Урумчи
777167593589536,27.09.2023,Авиа Урумчи
JT5221964746041,27.09.2023,Авиа Урумчи
JT5221712596619,27.09.2023,Авиа Урумчи
JT5221679833592,27.09.2023,Авиа Урумчи
777167716679346,27.09.2023,Авиа Урумчи
463131820122332,27.09.2023,Авиа Урумчи
463132936154455,27.09.2023,Авиа Урумчи
JT5221580962054,27.09.2023,Авиа Урумчи
463133234692694,27.09.2023,Авиа Урумчи
JT5221980518825,27.09.2023,Авиа Урумчи
777167681161974,27.09.2023,Авиа Урумчи
JT5221975855015,27.09.2023,Авиа Урумчи
JT5221990284417,27.09.2023,Авиа Урумчи
JT5221983260595,27.09.2023,Авиа Урумчи
JT5221573804129,27.09.2023,Авиа Урумчи
JT5221508783573,27.09.2023,Авиа Урумчи
78366567392168,27.09.2023,Авиа Урумчи
78368124507715,27.09.2023,Авиа Урумчи
777166839690593,27.09.2023,Авиа Урумчи
777167136259108,27.09.2023,Авиа Урумчи
НЕ8927907033076,27.09.2023,Авиа Урумчи
433450147266377,27.09.2023,Авиа Урумчи
777166968564376,27.09.2023,Авиа Урумчи
78724202602658,27.09.2023,Авиа Урумчи
78367727074126,27.09.2023,Авиа Урумчи
JT5221068545152,27.09.2023,Авиа Урумчи
JT5220805117269,27.09.2023,Авиа Урумчи
46312822090543z,27.09.2023,Авиа Урумчи
777167372000350,27.09.2023,Авиа Урумчи
463125635178918,27.09.2023,Авиа Урумчи
777167228024343,27.09.2023,Авиа Урумчи
463125132133456,27.09.2023,Авиа Урумчи
78368124506806,27.09.2023,Авиа Урумчи
78368124505937,27.09.2023,Авиа Урумчи
78368439211790,27.09.2023,Авиа Урумчи
78368415324877,27.09.2023,Авиа Урумчи
78368415409748,27.09.2023,Авиа Урумчи
78368415409005,27.09.2023,Авиа Урумчи
78368415440017,27.09.2023,Авиа Урумчи
777167471995220,27.09.2023,Авиа Урумчи
YT8928230352485,27.09.2023,Авиа Урумчи
777167230527497,27.09.2023,Авиа Урумчи
ОЕ5221434409842,27.09.2023,Авиа Урумчи
JT5221900583753,27.09.2023,Авиа Урумчи
777168071309295,27.09.2023,Авиа Урумчи
78368386242769,27.09.2023,Авиа Урумчи
JT5221864889836,27.09.2023,Авиа Урумчи
78368812907965,27.09.2023,Авиа Урумчи
JT5221898053802,27.09.2023,Авиа Урумчи
777167921419927,27.09.2023,Авиа Урумчи
463131749272770,27.09.2023,Авиа Урумчи
JT5221885968725,27.09.2023,Авиа Урумчи
ОЕ5221599697017,27.09.2023,Авиа Урумчи
78368918728921,27.09.2023,Авиа Урумчи
JT5221897001389,27.09.2023,Авиа Урумчи
JT5221921330200,27.09.2023,Авиа Урумчи
JT5221995559213,27.09.2023,Авиа Урумчи
YT8928538020073,27.09.2023,Авиа Урумчи
JT5221838883155,27.09.2023,Авиа Урумчи
78368548167169,27.09.2023,Авиа Урумчи
78368832363304,27.09.2023,Авиа Урумчи
78369020107586,27.09.2023,Авиа Урумчи
78368846669980,27.09.2023,Авиа Урумчи
78368720976067,27.09.2023,Авиа Урумчи
78368911675858,27.09.2023,Авиа Урумчи
78368593466735,27.09.2023,Авиа Урумчи
78368760086063,27.09.2023,Авиа Урумчи
78368833329836,27.09.2023,Авиа Урумчи
YT8927907033076,27.09.2023,Авиа Урумчи
433450147266377,27.09.2023,Авиа Урумчи
SF1510410640911,27.09.2023,Авиа Урумчи
433459587816323,01.10.2023,Авиа Урумчи
JT5221463865426,01.10.2023,Авиа Урумчи
777168400174377,01.10.2023,Авиа Урумчи
78369379858979,01.10.2023,Авиа Урумчи
777168326578436,01.10.2023,Авиа Урумчи
78725690679624,01.10.2023,Авиа Урумчи
777168399382191,01.10.2023,Авиа Урумчи
777168217320364,01.10.2023,Авиа Урумчи
78369136490800,01.10.2023,Авиа Урумчи
SF1605373096822,01.10.2023,Авиа Урумчи
78367194896562,01.10.2023,Авиа Урумчи
JT5220169929408,01.10.2023,Авиа Урумчи
777166497165720,01.10.2023,Авиа Урумчи
9855642418886,01.10.2023,Авиа Урумчи
9855642451834,01.10.2023,Авиа Урумчи
9855642451724,01.10.2023,Авиа Урумчи
78368565403535,01.10.2023,Авиа Урумчи
JT5221993322507,01.10.2023,Авиа Урумчи
463133360324709,01.10.2023,Авиа Урумчи
78368124507715,01.10.2023,Авиа Урумчи
JT5221975127975,01.10.2023,Авиа Урумчи
YT74326946,01.10.2023,Авиа Урумчи
78368849670300,01.10.2023,Авиа Урумчи
78368688981986,01.10.2023,Авиа Урумчи
78368570371226,01.10.2023,Авиа Урумчи
78368331362484,01.10.2023,Авиа Урумчи
78368558285814,01.10.2023,Авиа Урумчи
JT5221679833592,01.10.2023,Авиа Урумчи
78368379536084,01.10.2023,Авиа Урумчи
JT5221900583753,01.10.2023,Авиа Урумчи
777167230527497,01.10.2023,Авиа Урумчи
78366567392168,01.10.2023,Авиа Урумчи
463131820122332,01.10.2023,Авиа Урумчи
78368720976067,01.10.2023,Авиа Урумчи
777166839690593,01.10.2023,Авиа Урумчи
783686334227929,01.10.2023,Авиа Урумчи
JT5221434409842,01.10.2023,Авиа Урумчи
1250677768926,01.10.2023,Авиа Урумчи
JT5222093247935,01.10.2023,Авиа Урумчи
463128082744645,01.10.2023,Авиа Урумчи
777167921419927,01.10.2023,Авиа Урумчи
JT5221471411174,01.10.2023,Авиа Урумчи
78368559448885,01.10.2023,Авиа Урумчи
JT5221745098940,01.10.2023,Авиа Урумчи
78368718082429,01.10.2023,Авиа Урумчи
JT5222624410850,01.10.2023,Авиа Урумчи
78369720591148,01.10.2023,Авиа Урумчи
1253595403226,01.10.2023,Авиа Урумчи
78369276800816,01.10.2023,Авиа Урумчи
78368866654875,01.10.2023,Авиа Урумчи
9855773632644,01.10.2023,Авиа Урумчи
78368963161728,01.10.2023,Авиа Урумчи
78368938634296,01.10.2023,Авиа Урумчи
YT8928823263451,01.10.2023,Авиа Урумчи
78369175683808,01.10.2023,Авиа Урумчи
78369090789982,01.10.2023,Авиа Урумчи
78368834857485,01.10.2023,Авиа Урумчи
YT8928738354541,01.10.2023,Авиа Урумчи
YT8928785627113,01.10.2023,Авиа Урумчи
78726185920183,01.10.2023,Авиа Урумчи
78369091985705,01.10.2023,Авиа Урумчи
78369246587634,01.10.2023,Авиа Урумчи
YT8929495634741,01.10.2023,Авиа Урумчи
777168347168400,01.10.2023,Авиа Урумчи
9855802656859,01.10.2023,Авиа Урумчи
777168160383505,01.10.2023,Авиа Урумчи
463135584675514,01.10.2023,Авиа Урумчи
463137607190378,01.10.2023,Авиа Урумчи
463137731843337,01.10.2023,Авиа Урумчи
463132026111602,01.10.2023,Авиа Урумчи
JT5222663362140,01.10.2023,Авиа Урумчи
JT5222637663122,01.10.2023,Авиа Урумчи
777168284078560,01.10.2023,Авиа Урумчи
JT5222321030543,01.10.2023,Авиа Урумчи
JT5222232832884,01.10.2023,Авиа Урумчи
JT5222167380089,01.10.2023,Авиа Урумчи
JT5222226770054,01.10.2023,Авиа Урумчи
777168121341853,01.10.2023,Авиа Урумчи
463134473417312,01.10.2023,Авиа Урумчи
JT5222593888284,01.10.2023,Авиа Урумчи
777168145876613,01.10.2023,Авиа Урумчи
777168405167655,01.10.2023,Авиа Урумчи
777168125596585,01.10.2023,Авиа Урумчи
463135965912967,01.10.2023,Авиа Урумчи
JT5222243665743,01.10.2023,Авиа Урумчи
JT5222222309615,01.10.2023,Авиа Урумчи
777168339087045,01.10.2023,Авиа Урумчи
463137500161227,01.10.2023,Авиа Урумчи
JT5222662655788,01.10.2023,Авиа Урумчи
JT5221937011788,01.10.2023,Авиа Урумчи
JT5221870251128,01.10.2023,Авиа Урумчи
463135894817958,01.10.2023,Авиа Урумчи
JT5222349649291,01.10.2023,Авиа Урумчи
JT5222241952822,01.10.2023,Авиа Урумчи
777168431626112,01.10.2023,Авиа Урумчи
JT5222265534715,01.10.2023,Авиа Урумчи
463139257715134,01.10.2023,Авиа Урумчи
463129016032510,01.10.2023,Авиа Урумчи
JT5221790231590,01.10.2023,Авиа Урумчи
777167897491106,01.10.2023,Авиа Урумчи
777168328479929,01.10.2023,Авиа Урумчи
JT5222426444629,01.10.2023,Авиа Урумчи
JT5222265816920,01.10.2023,Авиа Урумчи
JT5222408258918,01.10.2023,Авиа Урумчи
JT5221945583392,01.10.2023,Авиа Урумчи
JT5222775041585,01.10.2023,Авиа Урумчи
JT5222220178543,01.10.2023,Авиа Урумчи
JT5222274025307,01.10.2023,Авиа Урумчи
JT5222348227354,01.10.2023,Авиа Урумчи
777168319915457,01.10.2023,Авиа Урумчи
463131099673147,01.10.2023,Авиа Урумчи
JT5221908263208,01.10.2023,Авиа Урумчи
78368343806181,01.10.2023,Авиа Урумчи
9855837986238,01.10.2023,Авиа Урумчи
78368291942065,01.10.2023,Авиа Урумчи
463133480255741,01.10.2023,Авиа Урумчи
YT8928629782590,01.10.2023,Авиа Урумчи
YT8928634575145,01.10.2023,Авиа Урумчи
78725352421880,01.10.2023,Авиа Урумчи
JT5221582888476,01.10.2023,Авиа Урумчи
9855810639631,01.10.2023,Авиа Урумчи
777167449567874,01.10.2023,Авиа Урумчи
JT5221516040511,01.10.2023,Авиа Урумчи
